CELL_ID,ACE2,C1QC,C3a,C3aR,C3d,C4d,C5aR,C9,CD107a,CD11b,CD11c,CD141,CD183,CD196,CD21,CD227,CD25,CD31,CD35,CD38,CD45,CD46,CD55,CD68,Clusterin,CollagenIV,DAPI,EpCAM,FoxP3,GranzymeB,ICOS,MASP2,Nestin,PD1,Perlecan,RORgammaT,SC5b9,SPP1,TFAM,VWF,aSMA,bCatenin1
247,32.356998443603516,54.4739990234375,25.386999130249023,24.000999450683594,143.8730010986328,89.62300109863281,76.35600280761719,1236.112060546875,468.5409851074219,31.674999237060547,49.13600158691406,22.05299949645996,762.9320068359375,89.23300170898438,124.26699829101562,848.8670043945312,23.687999725341797,20.952999114990234,23.040000915527344,113.94999694824219,393.2170104980469,152.62899780273438,23.214000701904297,100.53199768066406,222.81199645996094,197.85800170898438,1490.708984375,27.913000106811523,17.26300048828125,25.97800064086914,48.604000091552734,25.496000289916992,27.990999221801758,26.21299934387207,43.000999450683594,1732.405029296875,56.875999450683594,404.5570068359375,201.93099975585938,60.36600112915039,73.70999908447266,199.33099365234375
248,30.54199981689453,71.68199920654297,46.68000030517578,24.275999069213867,109.76300048828125,48.915000915527344,42.97600173950195,158.38699340820312,370.1579895019531,27.736000061035156,31.461999893188477,22.472999572753906,628.833984375,38.83599853515625,82.34100341796875,1024.998046875,27.694000244140625,25.7810001373291,22.865999221801758,59.03200149536133,103.35700225830078,167.0989990234375,19.322999954223633,47.75299835205078,26.5049991607666,85.88400268554688,416.6610107421875,44.21500015258789,18.538000106811523,23.756999969482422,50.48500061035156,25.56399917602539,24.833999633789062,21.19300079345703,30.075000762939453,1657.2640380859375,34.9640007019043,372.3179931640625,196.57000732421875,55.21699905395508,32.70399856567383,221.9429931640625
249,32.768001556396484,31.71299934387207,65.65399932861328,19.66200065612793,94.54000091552734,28.283000946044922,63.645999908447266,243.76800537109375,27.83099937438965,35.25299835205078,40.856998443603516,17.38800048828125,134.13499450683594,28.249000549316406,46.35900115966797,15.329000473022461,18.716999053955078,16.051000595092773,16.024999618530273,98.11399841308594,103.1520004272461,44.43000030517578,22.916000366210938,40.98699951171875,17.83099937438965,271.2409973144531,1343.9200439453125,17.04599952697754,14.059000015258789,22.426000595092773,36.28300094604492,23.104999542236328,16.759000778198242,18.308000564575195,22.295000076293945,514.885986328125,43.75899887084961,50.62900161743164,66.05500030517578,34.15999984741211,144.27000427246094,22.33300018310547
250,34.965999603271484,31.753999710083008,39.02399826049805,18.266000747680664,79.57499694824219,41.150001525878906,61.150001525878906,118.22200012207031,325.57000732421875,18.860000610351562,34.395999908447266,34.319000244140625,127.42500305175781,26.121000289916992,47.1879997253418,25.81599998474121,25.704999923706055,47.42499923706055,25.826000213623047,86.36699676513672,85.39099884033203,39.801998138427734,19.38599967956543,187.5850067138672,27.20800018310547,136.53599548339844,302.197998046875,17.527000427246094,12.279999732971191,21.676000595092773,32.60900115966797,27.343000411987305,23.66200065612793,17.608999252319336,33.4640007019043,320.593994140625,29.517000198364258,49.94200134277344,54.071998596191406,29.19300079345703,76.78700256347656,54.12099838256836
251,41.11399841308594,28.617000579833984,28.465999603271484,27.860000610351562,134.9510040283203,64.87699890136719,59.23400115966797,79.87100219726562,135.1490020751953,32.94900131225586,34.68000030517578,21.268999099731445,906.56298828125,53.54899978637695,85.26300048828125,29.11400032043457,29.1200008392334,22.208999633789062,22.229000091552734,62.47999954223633,208.406005859375,56.41699981689453,21.586000442504883,153.29100036621094,22.156999588012695,180.10899353027344,725.52001953125,22.694000244140625,20.086000442504883,24.68000030517578,67.822998046875,24.569000244140625,25.783000946044922,23.208999633789062,47.5,2121.31103515625,60.58300018310547,149.61700439453125,83.75700378417969,51.07400131225586,324.7430114746094,67.78900146484375
252,30.72599983215332,19.715999603271484,68.0719985961914,29.54800033569336,79.97100067138672,17.840999603271484,53.15399932861328,8380.0908203125,136.23599243164062,35.159000396728516,48.534000396728516,19.562000274658203,282.4280090332031,24.413000106811523,50.67300033569336,19.933000564575195,17.10099983215332,14.119999885559082,29.02899932861328,78.72599792480469,770.3939819335938,52.27399826049805,27.163000106811523,155.06700134277344,836.1829833984375,587.3800048828125,418.8219909667969,34.236000061035156,15.409000396728516,17.159000396728516,32.2599983215332,22.361000061035156,16.066999435424805,22.086999893188477,26.263999938964844,443.1390075683594,55.27399826049805,78.9280014038086,154.6439971923828,28.760000228881836,219.94700622558594,58.3120002746582
253,24.763999938964844,33.25600051879883,24.49799919128418,21.996999740600586,141.77999877929688,52.465999603271484,93.06099700927734,93.97100067138672,105.09100341796875,25.909000396728516,54.41400146484375,22.06100082397461,532.0869750976562,37.858001708984375,83.14199829101562,22.077999114990234,24.740999221801758,14.82800006866455,20.23900032043457,103.58899688720703,686.5079956054688,83.47200012207031,22.631000518798828,148.8159942626953,20.641000747680664,69.3270034790039,1558.083984375,16.375,19.68899917602539,24.174999237060547,52.08399963378906,24.058000564575195,23.625,18.440000534057617,29.06800079345703,1374.4010009765625,68.7020034790039,134.0709991455078,143.48199462890625,36.31100082397461,74.63400268554688,60.73099899291992
254,31.20599937438965,42.69499969482422,25.527999877929688,20.621999740600586,119.44300079345703,59.3489990234375,60.99800109863281,84.38099670410156,143.94700622558594,33.07099914550781,39.75199890136719,18.78700065612793,702.426025390625,39.88999938964844,99.08200073242188,1258.18798828125,24.503999710083008,18.457000732421875,20.49799919128418,73.8949966430664,86.66799926757812,123.07099914550781,25.270000457763672,75.71299743652344,25.60099983215332,107.26100158691406,508.71600341796875,36.494998931884766,17.722999572753906,21.90399932861328,52.972999572753906,23.458999633789062,24.788999557495117,23.886999130249023,29.80900001525879,1931.5849609375,42.42900085449219,283.5660095214844,123.62100219726562,48.994998931884766,37.53200149536133,85.08899688720703
255,26.795000076293945,36.31100082397461,47.99399948120117,19.593000411987305,111.6709976196289,67.51200103759766,62.779998779296875,165.6060028076172,619.4349975585938,30.742000579833984,34.922000885009766,30.660999298095703,511.2359924316406,50.7140007019043,119.91899871826172,484.90399169921875,20.065000534057617,21.09600067138672,16.714000701904297,206.41600036621094,77.5469970703125,109.85099792480469,20.236000061035156,75.822998046875,258.9410095214844,76.19300079345703,473.74798583984375,23.006000518798828,14.51200008392334,19.490999221801758,43.244998931884766,27.134000778198242,34.974998474121094,18.599000930786133,35.82899856567383,1070.760986328125,62.49399948120117,192.5590057373047,86.55899810791016,48.255001068115234,67.34500122070312,126.74800109863281
256,19.30299949645996,30.89900016784668,37.67900085449219,26.923999786376953,66.68199920654297,16.23200035095215,46.84700012207031,143.5260009765625,32.62099838256836,31.22599983215332,38.36399841308594,30.62700080871582,228.3979949951172,35.904998779296875,55.823001861572266,26.89900016784668,26.183000564575195,29.507999420166016,21.149999618530273,229.0399932861328,81.81999969482422,82.73999786376953,25.847000122070312,47.840999603271484,20.214000701904297,45.5989990234375,210.32400512695312,23.297000885009766,21.104000091552734,19.47100067138672,38.40399932861328,25.69099998474121,33.25400161743164,25.72800064086914,20.135000228881836,307.6730041503906,30.165000915527344,69.177001953125,82.47100067138672,53.702999114990234,24.801000595092773,35.297000885009766
257,31.559999465942383,38.053001403808594,20.518999099731445,18.68400001525879,109.0250015258789,65.44000244140625,64.96199798583984,26.552000045776367,163.91299438476562,25.55500030517578,38.04600143432617,20.089000701904297,542.0150146484375,65.322998046875,95.35900115966797,29.641000747680664,33.066001892089844,20.93600082397461,24.88800048828125,75.58999633789062,104.6259994506836,42.75299835205078,25.836999893188477,105.86499786376953,20.211000442504883,93.15299987792969,355.98699951171875,21.176000595092773,17.47100067138672,20.63599967956543,47.33100128173828,22.280000686645508,18.148000717163086,20.687000274658203,35.992000579833984,1789.864990234375,46.13199996948242,228.0709991455078,97.73500061035156,44.39400100708008,44.12699890136719,339.4330139160156
258,32.03799819946289,27.9689998626709,25.89900016784668,17.934999465942383,110.94599914550781,50.69599914550781,63.79600143432617,95.99299621582031,267.3710021972656,30.725000381469727,36.60200119018555,25.382999420166016,477.7430114746094,50.7140007019043,69.28199768066406,17.7450008392334,24.889999389648438,24.913000106811523,14.609000205993652,98.7020034790039,608.9039916992188,65.69999694824219,21.285999298095703,155.5590057373047,22.069000244140625,103.61699676513672,1050.85498046875,17.54400062561035,17.64900016784668,22.783000946044922,43.566001892089844,24.704999923706055,22.658000946044922,19.76099967956543,35.6619987487793,1087.9549560546875,37.3650016784668,116.09200286865234,86.68199920654297,37.893001556396484,618.1279907226562,57.05099868774414
259,27.339000701904297,44.3849983215332,24.65399932861328,19.89900016784668,146.73699951171875,78.36299896240234,85.83200073242188,122.99099731445312,378.18798828125,50.459999084472656,39.10900115966797,17.7810001373291,647.72900390625,62.97600173950195,82.60600280761719,16.715999603271484,25.530000686645508,15.961000442504883,19.20400047302246,89.41400146484375,1569.9539794921875,98.83599853515625,19.91699981689453,40.94499969482422,19.05900001525879,62.97200012207031,1270.18798828125,17.513999938964844,16.003999710083008,147.7480010986328,65.68699645996094,32.73500061035156,18.25200080871582,21.291000366210938,36.59700012207031,868.072021484375,59.82899856567383,163.2740020751953,64.90399932861328,47.0369987487793,40.62799835205078,58.652000427246094
260,37.29199981689453,32.95500183105469,23.621999740600586,16.42799949645996,110.08100128173828,47.30500030517578,57.67900085449219,132.63099670410156,119.3759994506836,37.7869987487793,36.30099868774414,19.618000030517578,573.5679931640625,26.749000549316406,43.03200149536133,9.642999649047852,24.19700050354004,23.80299949645996,21.27400016784668,67.43399810791016,100.79900360107422,53.018001556396484,14.541000366210938,67.5999984741211,25.83300018310547,359.34600830078125,763.1179809570312,18.600000381469727,13.760000228881836,23.520000457763672,42.5359992980957,27.023000717163086,25.90999984741211,17.513999938964844,33.80500030517578,1063.4189453125,41.4640007019043,79.81900024414062,59.77399826049805,39.71699905395508,199.99099731445312,42.29899978637695
261,32.51100158691406,39.42499923706055,27.29199981689453,19.68199920654297,109.77200317382812,49.744998931884766,54.70399856567383,987.3679809570312,117.3759994506836,29.856000900268555,40.85200119018555,18.459999084472656,615.5029907226562,36.8380012512207,95.1719970703125,897.9879760742188,24.45400047302246,22.690000534057617,27.70199966430664,63.39799880981445,78.13099670410156,88.61599731445312,18.099000930786133,32.34700012207031,119.07599639892578,358.2090148925781,422.4779968261719,29.12700080871582,16.132999420166016,19.54400062561035,48.89500045776367,27.29800033569336,22.19700050354004,21.250999450683594,30.375999450683594,1272.4930419921875,46.45600128173828,355.5069885253906,144.4969940185547,59.50699996948242,50.992000579833984,106.18099975585938
262,35.494998931884766,28.447999954223633,30.190000534057617,21.91900062561035,112.56800079345703,55.60599899291992,60.380001068115234,71.8550033569336,52.95199966430664,33.37799835205078,31.398000717163086,22.301000595092773,86.63099670410156,32.72600173950195,41.36899948120117,25.98200035095215,18.320999145507812,30.249000549316406,19.239999771118164,62.819000244140625,66.40299987792969,51.86399841308594,22.979999542236328,40.9640007019043,18.523000717163086,149.41000366210938,731.614990234375,20.445999145507812,14.109000205993652,19.35300064086914,41.856998443603516,20.698999404907227,20.243999481201172,19.0049991607666,32.965999603271484,491.5769958496094,67.39099884033203,60.91899871826172,58.85100173950195,35.59700012207031,37.974998474121094,68.76000213623047
263,33.99300003051758,33.069000244140625,42.77899932861328,19.5939998626709,111.7959976196289,55.505001068115234,62.95399856567383,60.29899978637695,376.79400634765625,32.768001556396484,36.077999114990234,21.551000595092773,539.1580200195312,52.84199905395508,117.14299774169922,59.63800048828125,21.878999710083008,22.160999298095703,21.974000930786133,107.83499908447266,165.9499969482422,99.8219985961914,25.07200050354004,114.0999984741211,267.1080017089844,204.80299377441406,885.5750122070312,27.839000701904297,17.57699966430664,19.5049991607666,48.77899932861328,25.777000427246094,24.57699966430664,19.632999420166016,30.934999465942383,2191.56201171875,46.61800003051758,192.36900329589844,83.78099822998047,58.40999984741211,47.702999114990234,166.72500610351562
264,36.75899887084961,66.72699737548828,26.764999389648438,29.768999099731445,144.22900390625,96.72699737548828,58.305999755859375,89.2490005493164,296.6940002441406,37.816001892089844,38.507999420166016,20.375,1014.7109985351562,51.23899841308594,168.56100463867188,2257.93310546875,27.832000732421875,21.7810001373291,26.695999145507812,123.0,149.08900451660156,73.15799713134766,29.902999877929688,94.05500030517578,21.097000122070312,93.78099822998047,568.531982421875,23.22100067138672,20.00200080871582,25.195999145507812,67.54299926757812,21.617000579833984,21.406999588012695,22.961999893188477,35.8849983215332,2572.215087890625,60.354000091552734,542.3099975585938,232.32400512695312,73.43099975585938,61.75899887084961,109.8219985961914
265,31.62299919128418,26.014999389648438,29.131999969482422,22.333999633789062,122.75700378417969,50.73699951171875,79.89600372314453,166.2429962158203,100.90399932861328,33.04100036621094,39.367000579833984,17.04800033569336,922.7620239257812,35.47100067138672,44.83300018310547,11.093999862670898,23.85099983215332,22.451000213623047,19.895999908447266,89.09600067138672,648.4329833984375,89.13899993896484,25.708999633789062,95.89900207519531,31.922000885009766,160.7949981689453,1474.8299560546875,18.652999877929688,18.47599983215332,21.333999633789062,44.2859992980957,26.16699981689453,21.003000259399414,21.57699966430664,34.70399856567383,546.6959838867188,52.67599868774414,62.268001556396484,32.946998596191406,45.34400177001953,160.80799865722656,41.26300048828125
266,25.01300048828125,57.08599853515625,28.558000564575195,24.118999481201172,104.0989990234375,36.845001220703125,56.57099914550781,159.23500061035156,229.56700134277344,38.840999603271484,36.49100112915039,41.08599853515625,255.06700134277344,51.7130012512207,63.13100051879883,39.65299987792969,22.530000686645508,37.314998626708984,16.61400032043457,89.08200073242188,213.7480010986328,62.95500183105469,20.708999633789062,91.48100280761719,20.86199951171875,631.5469970703125,432.5220031738281,23.718000411987305,17.433000564575195,17.679000854492188,32.61000061035156,21.945999145507812,22.195999145507812,20.732999801635742,25.856000900268555,849.8189697265625,31.48900032043457,108.27200317382812,101.75599670410156,49.32500076293945,43.8120002746582,45.284000396728516
267,30.60700035095215,98.26200103759766,76.00199890136719,24.604999542236328,103.03199768066406,65.22100067138672,66.27300262451172,680.6119995117188,660.3049926757812,23.375999450683594,40.138999938964844,20.20800018310547,385.24200439453125,29.091999053955078,70.70600128173828,18.018999099731445,24.452999114990234,21.315000534057617,21.7810001373291,95.87999725341797,95.2490005493164,141.9980010986328,21.70400047302246,59.01499938964844,30.60300064086914,54.744998931884766,382.69500732421875,26.39299964904785,20.054000854492188,15.64799976348877,35.0260009765625,21.676000595092773,28.638999938964844,24.009000778198242,41.132999420166016,953.5689697265625,39.89699935913086,227.8090057373047,116.36900329589844,62.858001708984375,86.04299926757812,188.4080047607422
268,28.964000701904297,25.768999099731445,32.0099983215332,29.184999465942383,145.90699768066406,71.65799713134766,70.6989974975586,215.81500244140625,212.97900390625,30.184999465942383,42.305999755859375,23.398000717163086,591.1389770507812,39.810001373291016,84.24199676513672,23.094999313354492,31.586000442504883,24.972000122070312,20.85099983215332,111.7020034790039,625.4320068359375,87.0719985961914,23.427000045776367,213.2310028076172,31.545000076293945,106.0,1400.68603515625,17.572999954223633,17.400999069213867,17.527000427246094,46.619998931884766,22.924999237060547,20.572999954223633,22.996999740600586,28.333999633789062,1304.7760009765625,62.63800048828125,260.4419860839844,102.7040023803711,53.696998596191406,275.61199951171875,70.57099914550781
269,21.177000045776367,25.944000244140625,25.27400016784668,18.493000030517578,96.98100280761719,41.00899887084961,72.05999755859375,91.63300323486328,49.78099822998047,36.242000579833984,29.777000427246094,18.860000610351562,157.9949951171875,30.242000579833984,48.18600082397461,13.809000015258789,25.172000885009766,22.61400032043457,26.16699981689453,70.68399810791016,405.9209899902344,70.53500366210938,19.42799949645996,36.86000061035156,24.097999572753906,65.9209976196289,1400.7769775390625,18.03700065612793,14.321000099182129,23.93000030517578,42.125999450683594,22.642000198364258,13.352999687194824,19.506999969482422,26.2189998626709,373.3070068359375,44.72999954223633,58.58100128173828,39.88800048828125,32.9630012512207,158.00900268554688,48.191001892089844
270,27.093000411987305,26.316999435424805,47.85100173950195,22.36199951171875,93.14600372314453,38.57899856567383,51.11199951171875,234.4239959716797,96.71900177001953,25.673999786376953,32.597999572753906,29.22800064086914,215.35699462890625,23.253000259399414,40.724998474121094,20.652000427246094,20.84000015258789,30.371000289916992,23.45800018310547,88.24700164794922,61.43000030517578,33.89899826049805,17.295000076293945,38.73899841308594,31.885000228881836,101.71900177001953,449.1319885253906,23.583999633789062,15.54800033569336,16.301000595092773,35.676998138427734,25.874000549316406,23.868000030517578,18.15399932861328,27.097999572753906,495.3429870605469,32.992000579833984,65.572998046875,45.12099838256836,35.83399963378906,266.5140075683594,44.558998107910156
271,37.915000915527344,33.08700180053711,26.3439998626709,21.815000534057617,87.2979965209961,34.53499984741211,44.41600036621094,41.67599868774414,66.55799865722656,25.549999237060547,27.246999740600586,25.341999053955078,112.69200134277344,30.72800064086914,61.31399917602539,25.68899917602539,23.391000747680664,29.143999099731445,26.274999618530273,55.76300048828125,32.242000579833984,35.20600128173828,18.816999435424805,50.28799819946289,15.326000213623047,109.33699798583984,538.552978515625,15.668000221252441,14.954000473022461,23.90999984741211,40.12900161743164,16.660999298095703,19.082000732421875,17.865999221801758,25.974000930786133,536.4879760742188,33.67399978637695,63.108001708984375,79.55000305175781,32.112998962402344,44.04399871826172,44.108001708984375
272,34.93299865722656,81.82599639892578,21.78499984741211,33.362998962402344,144.71499633789062,54.159000396728516,55.40700149536133,88.79299926757812,452.0150146484375,29.406999588012695,45.09299850463867,20.75200080871582,788.5260009765625,63.01100158691406,123.84400177001953,1796.5560302734375,30.17799949645996,19.55900001525879,28.485000610351562,104.79299926757812,198.7519989013672,140.156005859375,24.05900001525879,67.80400085449219,20.89299964904785,80.80400085449219,453.0849914550781,20.243999481201172,14.604000091552734,27.200000762939453,48.00400161743164,33.14099884033203,25.59600067138672,20.304000854492188,30.885000228881836,2247.79296875,39.970001220703125,805.3480224609375,314.4110107421875,94.32599639892578,56.97800064086914,183.61099243164062
273,38.03499984741211,56.84400177001953,24.715999603271484,27.35300064086914,127.60800170898438,74.3479995727539,54.43000030517578,38.67300033569336,223.2519989013672,34.19200134277344,42.284000396728516,20.618000030517578,832.1840209960938,71.43299865722656,127.13800048828125,32.69900131225586,26.92300033569336,19.281999588012695,24.636999130249023,69.34100341796875,123.66000366210938,35.75400161743164,21.06800079345703,97.6729965209961,17.03499984741211,63.38600158691406,535.6279907226562,20.45199966430664,17.57900047302246,21.392000198364258,36.60900115966797,30.216999053955078,23.833999633789062,24.28700065612793,39.18299865722656,3428.02490234375,49.73899841308594,489.8380126953125,101.0260009765625,48.189998626708984,45.00600051879883,121.69100189208984
274,26.868000030517578,26.916000366210938,23.658000946044922,23.357999801635742,136.62100219726562,32.9739990234375,85.63700103759766,63.71099853515625,56.268001556396484,24.77899932861328,25.399999618530273,15.600000381469727,214.0679931640625,30.589000701904297,39.183998107910156,8.753000259399414,20.868000030517578,22.9950008392334,21.152999877929688,75.0999984741211,314.28399658203125,44.87900161743164,22.42099952697754,62.479000091552734,86.65799713134766,72.4209976196289,1192.1839599609375,19.142000198364258,21.836999893188477,17.320999145507812,26.96299934387207,26.983999252319336,22.167999267578125,12.157999992370605,32.57400131225586,707.1740112304688,37.65800094604492,53.14699935913086,49.16299819946289,35.98400115966797,60.01100158691406,34.80500030517578
275,26.606000900268555,37.26100158691406,19.722999572753906,18.731000900268555,154.41000366210938,64.4739990234375,76.13300323486328,25.54400062561035,133.31700134277344,33.04600143432617,39.22700119018555,30.0939998626709,714.843017578125,83.68699645996094,74.59200286865234,25.364999771118164,25.06999969482422,40.7130012512207,24.767000198364258,97.0459976196289,941.1430053710938,110.23300170898438,19.82900047302246,54.308998107910156,10.33899974822998,54.11600112915039,1144.02001953125,25.54800033569336,15.472000122070312,20.531999588012695,51.3390007019043,24.32900047302246,28.881999969482422,26.243000030517578,35.26499938964844,1026.6490478515625,53.35300064086914,145.52999877929688,115.6240005493164,49.37799835205078,74.81300354003906,74.58200073242188
